urun_adi,Fiyat_str,gelis_fiyati_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
CANON CRG-071 Chipsiz (1.2k),4.50 USD 179.14 TL,4.50,1200,100,2,16266,"CANON CRG-071: LBP122, MF272, MF275"
CANON CRG-071H (2.5K),10.27 USD 408.83 TL,10.27,2500,100,0,16833,"CANON CRG071H: LBP122, MF272, MF275"
CANON CRG-071H Chipsiz (2.5k),5.35 USD 212.97 TL,5.35,2500,100,10,16267,"CANON CRG-071H: LBP122, MF272, MF275"
CANON CRG-072 (1.4K),22.67 USD 902.45 TL,22.67,1400,10,0,17125,"CANON CRG072: LBP172, MF284, MF287, MF289"
CANON CRG-072H (4.1K),"28.00 USD 1,114.63 TL",28.00,4100,10,1,17126,"CANON CRG072H: LBP172, MF284, MF287, MF289"
CANON CRG-073 (27K),"34.00 USD 1,353.48 TL",34.00,27000,20,0,16579,"CANON CRG073: LBP361, LBP362"
CANON CRG-720 (5K),6.83 USD 271.89 TL,6.83,5000,0,0,11375,"CANON CRG720: MF6680, D1100, D1120, D1150, D1170, D1180, D1320, D1370, D1520, D1550"
CANON CRG-732BK Black (6.1K),15.00 USD 597.12 TL,15.00,6100,1,0,11763,CANON CRG732BK: LBP7780
CANON CRG-732C Cyan (6.4K),15.00 USD 597.12 TL,15.00,6400,1,0,11764,CANON CRG732C: LBP7780
CANON CRG-732HBK Black Yüksek Kapasite (12K),16.00 USD 636.93 TL,16.00,12000,4,0,11762,CANON CRG732HBK: LBP7780
CANON CRG-732M Magenta (6.4K),15.00 USD 597.12 TL,15.00,6400,1,0,11765,CANON CRG732M: LBP7780
CANON CRG-732Y Yellow (6.4K),15.00 USD 597.12 TL,15.00,6400,1,0,11766,CANON CRG732Y: LBP7780
CANON EP-27 (2.5K),6.39 USD 254.37 TL,6.39,2500,40,1,15205,"CANON EP27: LBP300, LBP3200, LBP 3210, MF3110, MF3111, MF3220, MF3240, MF5500, MF5530, MF5550, MF5630, MF5650, MF5730, MF5750, MF5770"
CANON FX-10 (2K),5.09 USD 202.62 TL,05.09,2000,50,3,15204,"CANON FX9, FX10: L90, L100, L120, L140, L160, MF4010, MF4100, MF4110, MF4120, MF4140, MF4150, MF4160, MF4270, MF4320, MF4330, MF4340, MF4350, MF4370, MF4380, MF4660, MF4660, MF4690, MF6570, D420, D450, D480"
"CANON G-28,GPR-18,C-EXV14 (430Gr) (8.3K)",5.37 USD 213.77 TL,5.37,8300,30,1,18390,"CANON C-EXV14, GPR28, G28: IR2016, IR2018, IR2020, IR2022, IR2025, IR2116, IR2120, IR2030, IR2318, IR2320, IR2420, IR2422"
